更新时间: 2025-12-25 04:31:45（北京时间）

更新时间,#genre#
2025-12-25 04:31:45,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

大湾区,#genre#
第一剧场,http://171.83.48.170:1234/rtp/239.69.1.74:10084$湖北电信
女性时尚,http://113.25.107.189:10000/rtp/239.1.1.89:8089$山西电信
女性时尚,http://183.164.37.18:4022/rtp/238.1.79.55:4576$安徽电信
世界地理,http://113.25.107.189:10000/rtp/239.1.1.99:8099$山西电信
世界地理,http://183.164.37.18:4022/rtp/238.1.79.60:4616$安徽电信
世界地理,http://171.83.48.170:1234/rtp/239.69.1.91:10186$湖北电信
央视台球,http://113.25.107.189:10000/rtp/239.1.1.100:8100$山西电信
央视台球,http://183.164.37.18:4022/rtp/238.1.79.59:4608$安徽电信
央视台球,http://171.83.48.170:1234/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://113.25.107.189:10000/rtp/239.1.1.102:8102$山西电信
高尔夫网球,http://183.164.37.18:4022/rtp/238.1.79.58:4600$安徽电信
高尔夫网球,http://171.83.48.170:1234/rtp/239.69.1.83:10138$湖北电信
央视文化精品,http://113.25.107.189:10000/rtp/239.1.1.91:8091$山西电信
央视文化精品,http://183.164.37.18:4022/rtp/238.1.79.54:4568$安徽电信

卫视频道,#genre#
湖南卫视,http://183.164.37.18:4022/rtp/238.1.78.160:7152$安徽电信
湖南卫视,http://171.83.48.170:1234/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://113.12.63.115:6666/rtp/239.81.0.110:4056$广西电信
湖南卫视,http://113.12.63.115:6666/rtp/239.81.0.72:4056$广西电信
浙江卫视,http://183.164.37.18:4022/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://171.83.48.170:1234/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://113.12.63.115:6666/rtp/239.81.0.108:4056$广西电信
浙江卫视,http://113.12.63.115:6666/rtp/239.81.0.75:4056$广西电信
江苏卫视,http://183.164.37.18:4022/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://171.83.48.170:1234/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://113.12.63.115:6666/rtp/239.81.0.106:4056$广西电信
东方卫视,http://183.164.37.18:4022/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://171.83.48.170:1234/rtp/239.254.96.142:8926$湖北电信
东方卫视,http://113.12.63.115:6666/rtp/239.81.0.111:4056$广西电信
东方卫视,http://113.12.63.115:6666/rtp/239.81.0.76:4056$广西电信
深圳卫视,http://183.164.37.18:4022/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://171.83.48.170:1234/rtp/239.254.96.137:8896$湖北电信
深圳卫视,http://113.12.63.115:6666/rtp/239.81.0.254:4056$广西电信
北京卫视,http://183.164.37.18:4022/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://171.83.48.170:1234/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://113.12.63.115:6666/rtp/239.81.0.109:4056$广西电信
北京卫视,http://113.12.63.115:6666/rtp/239.81.0.226:4056$广西电信
北京卫视,http://113.12.63.115:6666/rtp/239.81.0.225:4056$广西电信
广东卫视,http://183.164.37.18:4022/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://171.83.48.170:1234/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://113.12.63.115:6666/rtp/239.81.0.104:4056$广西电信
广东卫视,http://113.12.63.115:6666/rtp/239.81.0.252:4056$广西电信
广西卫视,http://183.164.37.18:4022/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://171.83.48.170:1234/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://113.12.63.115:6666/rtp/239.81.0.107:4056$广西电信
东南卫视,http://183.164.37.18:4022/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://171.83.48.170:1234/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://113.12.63.115:6666/rtp/239.81.0.215:4056$广西电信
海南卫视,http://183.164.37.18:4022/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://171.83.48.170:1234/rtp/239.69.1.151:10542$湖北电信
海南卫视,http://113.12.63.115:6666/rtp/239.81.0.199:4056$广西电信
河北卫视,http://183.164.37.18:4022/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://171.83.48.170:1234/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://113.12.63.115:6666/rtp/239.81.0.94:4056$广西电信
河南卫视,http://183.164.37.18:4022/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://171.83.48.170:1234/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://113.12.63.115:6666/rtp/239.81.0.220:4056$广西电信
湖北卫视,http://183.164.37.18:4022/rtp/238.1.78.168:7216$安徽电信
湖北卫视,http://171.83.48.170:1234/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://113.12.63.115:6666/rtp/239.81.0.112:4056$广西电信
江西卫视,http://183.164.37.18:4022/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://171.83.48.170:1234/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://113.12.63.115:6666/rtp/239.81.0.204:4056$广西电信
四川卫视,http://183.164.37.18:4022/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://171.83.48.170:1234/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://113.12.63.115:6666/rtp/239.81.0.130:4056$广西电信
四川卫视,http://113.12.63.115:6666/rtp/239.81.0.80:4056$广西电信
重庆卫视,http://183.164.37.18:4022/rtp/238.1.78.31:6176$安徽电信
重庆卫视,http://171.83.48.170:1234/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://183.164.37.18:4022/rtp/238.1.78.244:7824$安徽电信
贵州卫视,http://171.83.48.170:1234/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://113.12.63.115:6666/rtp/239.81.0.95:4056$广西电信
云南卫视,http://183.164.37.18:4022/rtp/238.1.78.89:6584$安徽电信
天津卫视,http://183.164.37.18:4022/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://171.83.48.170:1234/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://113.12.63.115:6666/rtp/239.81.0.113:4056$广西电信
安徽卫视,http://183.164.37.18:4022/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://183.164.37.18:4022/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://171.83.48.170:1234/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://113.12.63.115:6666/rtp/239.81.0.211:4056$广西电信
山东卫视,http://183.164.37.18:4022/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://171.83.48.170:1234/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://113.12.63.115:6666/rtp/239.81.0.114:4056$广西电信
山东卫视,http://113.12.63.115:6666/rtp/239.81.0.78:4056$广西电信
辽宁卫视,http://183.164.37.18:4022/rtp/238.1.78.21:6096$安徽电信
辽宁卫视,http://171.83.48.170:1234/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://113.12.63.115:6666/rtp/239.81.0.210:4056$广西电信
黑龙江卫视,http://183.164.37.18:4022/rtp/238.1.78.159:7144$安徽电信
黑龙江卫视,http://171.83.48.170:1234/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://113.12.63.115:6666/rtp/239.81.0.105:4056$广西电信
吉林卫视,http://183.164.37.18:4022/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://171.83.48.170:1234/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://113.12.63.115:6666/rtp/239.81.0.143:4056$广西电信
内蒙古卫视,http://183.164.37.18:4022/rtp/238.1.78.103:6696$安徽电信
宁夏卫视,http://183.164.37.18:4022/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://113.12.63.115:6666/rtp/239.81.0.200:4056$广西电信
山西卫视,http://183.164.37.18:4022/rtp/238.1.78.95:6632$安徽电信
